CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
SN74LS247           BCD-TO-SEVEN-SEGMENTDEC/DRV
SN74LS248           BCD-TO-SEVEN-SEGMENTDEC/DRV
SN74251             DATA SLCR/MUX 3SO
SN74S251            DATA SLCR/MUX 3SO
SN74LS251           DATA SLCR/MUX 3SO
SN74LS253           DUAL 4-1LINES DATA SLCR/MUX
SN74S253            DUAL 4-1LINES DATA SLCR/MUX
SN74LS257B          QUAD 2-1LINE DATA SLCR/MUX
SN74LS258B          QUAD 2-1LINE DATA SLCR/MUX
SN74259             8-BIT ADDRESSABLE LCH
SN74LS259B          8-BIT ADDRESSABLE LCH
SN74LS261           2-BIT 4-BIT PARALLEL BIN MULT
SN74LS266           QUAD 2-IN XOR  G OCO
SN74LS273           OCTAL D-TYPE FF CR
SN74273             OCTAL D-TYPE FF CR
SN74279             QUAD S\-R\ LCH
SN74LS279A          QUAD S\-R\ LCH
SN74LS280           9-BIT ODD/EVEN PARITY GNR/CHKR
SN74S280            9-BIT ODD/EVEN PARITY GNR/CHKR
SN74LS283           4-BIT BIN ADD WITH FC
SN74283             4-BIT BIN ADD WITH FC
SN74S283            4-BIT BIN ADD WITH FC
SN74LS290           DECADE AND 4-BIT BIN CNT
SN74290             DECADE AND 4-BIT BIN CNT
SN74LS292           PROGRAMMABLE FRQ DIV/DIGITAL TIMERS
SN74293             DECADE AND 4-BIT BIN CNT
SN74LS293           DECADE AND 4-BIT BIN CNT
SN74LS294           PROGRAMMABLE FRQ DIV/DIGITAL TIMERS
SN74LS298           QUAD 2-IN MUX WITH STORAGE
SN74298             QUAD 2-IN MUX WITH STORAGE
SN74LS299           8-BIT UNIVERSAL SFT/STORAGE REG
SN74S299            8-BIT UNIVERSAL SFT/STORAGE REG
SN74LS320           CRYSTAL-CONTROLLED OSCILLATOR
SN74LS321           CRYSTAL-CONTROLLED OSCILLATOR
SN74LS322A          8-BIT REG WITH SIGN EXTEND REG
SN74LS323           8-BIT UNIVERSAL SFT/STORAGE REG
SN74LS348           8-TO-3 PRIORITY ENCODER 3SO
SN74LS352           DUAL 4-1LINES DATA SLCR/MUX
SN74LS353           DUAL 4-1LINES DATA SLCR/MUX 3SO
SN74LS354           8-1LINE DATA SLCR/MUX/REG
SN74LS355           8-1LINE DATA SLCR/MUX/REG
SN74LS356           8-1LINE DATA SLCR/MUX/REG
SN74LS365A          HEX BUS DRV 3SO
SN74365A            HEX BUS DRV 3SO
SN74366A            HEX BUS DRV 3SO
SN74LS366A          HEX BUS DRV 3SO
SN74LS368A          HEX BUS DRV 3SO
SN74368A            HEX BUS DRV 3SO
SN74LS373           OCTAL TRANSPARENT LCH
SN74S373            OCTAL TRANSPARENT LCH
SN74LS374           OCTAL D-TYPE EDGE TRIGGERED FF 3SO
SN74S374            OCTAL D-TYPE EDGE TRIGGERED FF 3SO
SN74LS375           4-BIT BISTABLE LCH
SN74LS377           OCTAL D-TYPE FF WITH ENABLE
SN74LS378           HEX D-TYPE FF WITH ENABLE
SN74LS379           QUAD D-TYPE FF WITH ENABLE
SN74LS381A          ALU/FN GNR
SN74S381            ALU/FN GNR
SN74LS382A          ALU/FN GNR
SN74LS384           8-BY-1-BIT TWO COMPLEMENT MULT
SN74LS385           QUAD SER ADDER/SUBTRACTER
SN74LS386A          QUAD 2-IN XOR
SN74LS390           DUAL 4-BIT AND BIN CNT
SN74390             DUAL 4-BIT AND BIN CNT
SN74LS393           DUAL 4-BIT AND BIN CNT
SN74393             DUAL 4-BIT AND BIN CNT
SN74LS395A          4-BIT CASCADABLE SFT REG 3SO
SN74LS396           OCTAL STORAGE REG
SN74LS399           QUAD 2-IN MUX WITH STORAGE
SN74LS422           RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74LS423           RETRIGGERABLE MONOSTABLE MULTIVIBRATOR
SN74LS440           QUAD TRIDIRECTIONAL BUS TRANSCEIVERS
SN74LS441           QUAD TRIDIRECTIONAL BUS TRANSCEIVERS
SN74LS442           QUAD TRIDIRECTIONAL BUS TRANSCEIVERS
SN74LS444           QUAD TRIDIRECTIONAL BUS TRANSCEIVERS
SN74LS445           BCD-TO-DECIMAL DEC/DRV
